,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,LIFE GRADE
582,Hyundai Verna VTVT 1.6 SX,Delhi,2014,70428,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5,11.47 Lakh,C
583,Hyundai Verna 1.6 CRDI,Bangalore,2012,69010,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5,,D
584,Maruti Alto 800 2016-2019 LXI,Kolkata,2017,68000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,C
585,Nissan Sunny 2011-2014 Diesel XL,Kolkata,2012,45000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,B
586,Maruti Swift Dzire Vdi BSIV,Ahmedabad,2017,55945,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,,C
587,Chevrolet Sail Hatchback LS ABS,Hyderabad,2013,70000,Diesel,Manual,First,22.1 kmpl,1248 CC,76.9 bhp,5,,D
588,Maruti Wagon R LXI,Mumbai,2014,12000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,A
589,Toyota Corolla Altis VL AT,Coimbatore,2019,10660,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,,B
590,Toyota Etios G,Delhi,2012,52052,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,5,,C
591,Mercedes-Benz New C-Class 220 CDI AT,Chennai,2012,62940,Diesel,Automatic,Second,14.84 kmpl,2143 CC,170 bhp,5,,D
592,Hyundai Santro Xing GL Plus,Kolkata,2012,102000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5,,E
593,Volkswagen Vento Diesel Highline,Chennai,2012,60000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,,D
594,Nissan Sunny 2011-2014 XL AT Special Edition,Pune,2013,66000,Petrol,Automatic,First,17.97 kmpl,1498 CC,99.6 bhp,5,,D
595,Honda Brio 1.2 VX MT,Hyderabad,2012,41000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,7.08 Lakh,B
596,Honda CR-V 2.4 4WD AT,Chennai,2005,135000,Petrol,Automatic,Third,10.1 kmpl,2354 CC,152 bhp,5,,E
597,Honda City 1.5 S AT,Pune,2012,72000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.4 bhp,5,,D
598,Mercedes-Benz New C-Class C 220 CDI Celebration Edition,Delhi,2014,55000,Diesel,Automatic,First,11.78 kmpl,2143 CC,167.62 bhp,5,,C
